iter	Passed	Remaining
837	60009	11600
838	60081	11529
839	60148	11456
840	60211	11383
841	60295	11314
842	60361	11241
843	60426	11168
844	60494	11096
845	60564	11024
846	60642	10954
847	60714	10882
848	60795	10812
849	60862	10740
850	60944	10670
851	61013	10598
852	61080	10526
853	61166	10457
854	61234	10384
855	61319	10315
856	61388	10243
857	61459	10171
858	61525	10099
859	61593	10026
860	61666	9955
861	61730	9882
862	61815	9813
863	61886	9741
864	61956	9669
865	62024	9597
866	62086	9524
867	62159	9452
868	62238	9382
869	62320	9312
870	62390	9240
871	62460	9168
872	62534	9097
873	62603	9025
874	62676	8953
875	62740	8881
876	62804	8808
877	62875	8736
878	62956	8666
879	63019	8593
880	63096	8522
881	63163	8450
882	63233	8378
883	63308	8307
884	63377	8235
885	63443	8163
886	63517	8091
887	63580	8019
888	63650	7947
889	63715	7874
890	63778	7802
891	63842	7729
892	63909	7657
893	63996	7587
894	64071	7516
895	64141	7444
896	64216	7373
897	64290	7302
898	64357	7230
899	64428	7158
900	64502	7087
901	64567	7015
902	64635	6943
903	64704	6871
904	64775	6799
905	64842	6727
906	64910	6655
907	64973	6583
908	65051	6512
909	65117	6440
910	65187	6368
911	65266	6297
912	65330	6225
913	65399	6153
914	65463	6081
915	65531	6009
916	65597	5937
917	65665	5865
918	65728	5793
919	65799	5721
920	65865	5649
921	65931	5577
922	65995	5505
923	66063	5433
924	66145	5363
925	66218	5291
926	66295	5220
927	66362	5148
928	66425	5076
929	66488	5004
930	66557	4932
931	66628	4861
932	66699	4789
933	66764	4717
934	66837	4646
935	66901	4574
936	66967	4502
937	67032	4430
938	67101	4359
939	67170	4287
940	67243	4216
941	67334	4145
942	67398	4073
943	67466	4002
944	67534	3930
945	67599	3858
946	67669	3787
947	67734	3715
948	67799	3643
949	67874	3572
950	67958	3501
951	68030	3430
952	68104	3358
953	68183	3287
954	68263	3216
955	68338	3145
956	68412	3073
957	68486	3002
958	68558	2931
959	68641	2860
960	68715	2788
961	68792	2717
962	68871	2646
963	68937	2574
964	69014	2503
965	69087	2431
966	69155	2360
967	69221	2288
968	69303	2217
969	69381	2145
970	69456	2074
971	69528	2002
972	69589	1931
973	69653	1859
974	69716	1787
975	69792	1716
976	69867	1644
977	69936	1573
978	70004	1501
979	70068	1429
980	70132	1358
981	70197	1286
982	70280	1215
983	70350	1143
984	70412	1072
985	70476	1000
986	70545	929
987	70633	857
988	70711	786
989	70787	715
990	70858	643
991	70927	571
992	70999	500
993	71076	429
994	71156	357
995	71227	286
996	71304	214
997	71373	143
998	71443	71
999	71508	0
