,acousticness,danceability,energy,track_id,instrumentalness,liveness,speechiness,valence
58,0.791,0.711,0.258,22wcNdDej7sJO0UnaerFN7,0.000879,0.101,0.0693,0.423
59,0.443,0.702,0.502,6rbcLlshzTmZSnwLvRlQRw,0.325,0.113,0.0384,0.469
60,0.667,0.646,0.391,3HrCRZ2CGEuYIe4HevErXP,0.178,0.0843,0.0345,0.398
61,0.493,0.527,0.299,2sudalI4ICuiFAHIqOdQlo,0.693,0.0753,0.0341,0.0603
62,0.369,0.538,0.654,07HdA6hZnuNfI2pdaRrCDR,0.264,0.142,0.0317,0.485
63,0.135,0.837,0.501,6GVM2tRYXx8q3fRD2LL6Ly,0.0,0.0731,0.266,0.377
64,0.0201,0.511,0.579,2KmmaNcswAMaKChpla8dTN,0.0598,0.252,0.0576,0.685
65,0.104,0.68,0.594,7bPKgEINy8LImxgyhbc01a,0.0205,0.109,0.039,0.314
66,0.631,0.614,0.398,7cstOrIlIHaEZSHGHzldza,0.000758,0.115,0.0707,0.563
67,0.411,0.418,0.451,3E1U9ygfOFBuwGvmqO11N1,0.00231,0.147,0.0287,0.0928
68,0.0265,0.666,0.646,3Fznj2qRFY71Ht9J61sKDY,0.0949,0.11,0.0307,0.718
69,0.864,0.335,0.415,0NgLLOwOrrw9GXOFF7xHYh,0.00903,0.104,0.0325,0.166
70,0.825,0.489,0.463,2AehGNzBK2YR4xGxq7NBxL,0.00184,0.0764,0.0298,0.294
71,0.256,0.491,0.45,6i7n4C2mSx6WEmfFEhPWYf,0.000505,0.0684,0.0297,0.308
72,0.721,0.556,0.389,0QsHR0M7pbrVIVwTYKUM18,0.886,0.111,0.029,0.0879
73,0.701,0.752,0.564,5xHvxOGmmVWSo5CL27zFml,0.782,0.347,0.0617,0.523
74,0.549,0.475,0.603,54KPTl41PC7e2yf0oDjtC9,0.246,0.336,0.0387,0.26
75,0.495,0.503,0.619,2Nd6iz7UaoLQEY8ZY53IX6,0.199,0.101,0.0973,0.332
76,0.383,0.667,0.623,0Jx42ufEToqS6vzHFZz6L8,0.000824,0.15,0.0633,0.331
77,0.838,0.66,0.607,2FYQ7EomhxxumqHf04OufP,0.128,0.0508,0.0308,0.435
78,0.0854,0.515,0.331,0ZWDvjDY3OCwN300x1ktae,0.194,0.0775,0.189,0.216
79,0.934,0.384,0.275,3ag0mmWT8c63tnW2K3gpH1,0.000296,0.0945,0.0355,0.285
80,0.509,0.462,0.58,2mttEy7fRMD5Fwvrl5N9bo,0.131,0.105,0.0322,0.472
81,0.671,0.745,0.344,5A7FKtfUqykPsmQ1wMZLDo,0.607,0.129,0.0302,0.24
82,0.921,0.712,0.303,5okgNDtQhwxxAoC7VQB8kc,0.677,0.102,0.0358,0.455
83,0.179,0.583,0.719,2MOOA4D3Mm8Vxj2bbgEHNk,0.443,0.149,0.0745,0.192
84,0.848,0.514,0.375,3qPj6nfIkIbj2HPfizF9Z9,0.196,0.263,0.0282,0.32
85,0.849,0.649,0.468,6eykhAkF0Ml7aBCJdiAYf7,0.00706,0.106,0.0447,0.618
86,0.171,0.871,0.72,2sFysiLncRr14XfCZtcIGQ,0.0908,0.0686,0.0413,0.832
87,0.325,0.792,0.568,1ZPc6TYeCaeSgu8W8bV5jD,0.438,0.083,0.0456,0.244
88,0.722,0.576,0.29,6IpQfpUBQ5Zn8WRpu17FIj,0.111,0.107,0.0326,0.112
89,0.38,0.701,0.805,1dwGvpmVD7SlxTZyz0nATO,0.000483,0.13,0.0592,0.486
90,0.514,0.67,0.679,7kTgtLlNBhzbFvpdi351jI,0.285,0.109,0.0414,0.492
91,0.879,0.497,0.348,3NLm801woJocONz1NmPJZR,0.796,0.722,0.0285,0.227
92,0.421,0.507,0.413,0odFemLB4X22YslizqRKC6,0.0296,0.0959,0.0395,0.174
93,0.282,0.736,0.812,4uk29AVmPqSMQ99freKKai,0.0637,0.166,0.0345,0.463
94,0.49,0.518,0.436,34DpOSd0pXWxUgFHA6HhJ0,0.491,0.228,0.0313,0.291
95,0.697,0.687,0.334,6bYEmK82myFFZjX76AYLQI,0.659,0.145,0.0435,0.383
96,0.476,0.648,0.631,0i8GWH7I373bJCdVUDfUJm,0.0218,0.0791,0.0702,0.37
97,0.335,0.656,0.479,4vRVpQ6S4SwZyPgoC71yEk,0.228,0.0882,0.0402,0.305
98,0.598,0.809,0.47,6Oj1vBGXiFIOlwzAWrfqAI,0.864,0.0676,0.0568,0.706
99,0.132,0.649,0.657,01LTzmitkMqLmmrEEyUkqx,0.0,0.0351,0.205,0.84
100,0.912,0.498,0.515,3g5pYVePf1XYxGhiy9PhPk,0.823,0.127,0.0386,0.209
101,0.798,0.428,0.573,4fOtujQrwmK7zyiai5TVqh,0.000564,0.151,0.0388,0.298
102,0.328,0.624,0.375,4N66BZttVfqxx33AKRkvdi,0.00241,0.169,0.0312,0.212
103,0.259,0.638,0.46,1Sz1NdKzj6i9zFXRCK0tEh,0.0129,0.191,0.0323,0.279
104,0.518,0.416,0.319,6vXBhZm9Yv8CvYX9ukLNz8,0.00183,0.144,0.0321,0.115
105,0.027,0.433,0.414,4OyOGRKUyI5sZeE4lJKboR,0.133,0.103,0.0266,0.24
106,0.0128,0.743,0.629,5QEEh8nfWmomV8VRbsGcAM,0.879,0.287,0.0478,0.734
107,0.763,0.309,0.57,5QTc1DAqcsedOXof83SsYV,0.943,0.31,0.0464,0.18
108,0.776,0.877,0.178,42EMSKPgulAzr4RLY65Eut,0.0193,0.107,0.102,0.442
109,0.637,0.618,0.336,2tKTx3sBuajVrzgPYCsJzC,0.362,0.0721,0.127,0.501
110,0.217,0.265,0.561,1MJUvkDWM7bdgah1kT3BsL,0.152,0.127,0.0364,0.141
111,0.019,0.87,0.559,1EaEpnLJjqA536flxzenNw,0.00088,0.112,0.0909,0.213
112,0.795,0.676,0.738,5GDtiMZfvmnl6P2rVB0x6O,0.888,0.235,0.0346,0.791
113,0.738,0.586,0.543,1atQh4c0D1oEVQ6sNtKncZ,0.898,0.113,0.0246,0.569
114,0.653,0.625,0.449,0Y6y9oaifWl4JxsT5rrg63,0.833,0.355,0.04,0.476
115,0.0443,0.689,0.644,6Djtp4rIdvu11J7akZ2FWe,0.00506,0.123,0.0322,0.395
116,0.715,0.687,0.418,39nTI9fKd7tB0AUuQObLf1,0.573,0.0993,0.107,0.581
117,0.877,0.56,0.404,3vhjvHdXDMiK0yEk6AyIVa,0.00948,0.0932,0.0288,0.356
118,0.142,0.731,0.727,1XxTn6PXWiLwndoOExfBLo,1.13e-05,0.0972,0.0455,0.214
119,0.797,0.628,0.509,0euCbI7AVko7Fj4Y9UIwrc,0.903,0.131,0.0826,0.0923
120,0.225,0.445,0.473,5qxG48QWWi0SgrK67OwXHX,0.144,0.111,0.0295,0.301
121,0.554,0.69,0.743,3OKuM0DIPFKKhg97ILRoci,0.372,0.298,0.0787,0.964
122,0.0674,0.671,0.603,4Qi5WF8IM9GPbKoEbZBOGJ,0.741,0.135,0.0485,0.746
123,0.592,0.596,0.533,2aGdUcIFCB8vjxqibN3JhZ,0.0113,0.31,0.0372,0.205
124,0.881,0.49,0.316,0O8opD0spCg2nheujR7DyP,0.00484,0.103,0.031,0.316
125,0.947,0.467,0.193,5tdtOKe2N9b2K20ajt3Y1f,0.0965,0.0995,0.0331,0.071
126,0.82,0.736,0.315,0jwx104ASJH2nhF0RYTP55,0.552,0.13,0.0494,0.657
127,0.00799,0.651,0.521,2aHDgPxYYGE8mnpaXXMTRK,0.788,0.158,0.0273,0.65
128,0.765,0.737,0.351,5JCUYNmvw0uBYEr4PHASiw,0.0199,0.113,0.031,0.304
129,0.248,0.807,0.512,02Qm4oParICyHqiltTrt6q,0.637,0.122,0.0463,0.497
130,0.9,0.554,0.459,7HI0G6BtTfPxZA34DareMN,0.801,0.268,0.0347,0.326
131,0.1,0.635,0.571,0eGVf0SuQ7dY6loPLl6vGL,0.00674,0.234,0.0303,0.307
132,0.203,0.538,0.55,0d4g8cnqx15h23pfmI56hS,0.344,0.337,0.0302,0.37
133,0.974,0.332,0.295,4WW04QopHbieoXw3y0JV0a,0.834,0.0936,0.0351,0.139
134,0.1,0.635,0.571,3rMQz6lBPQK3gsSgPJvav6,0.00674,0.234,0.0303,0.307
135,0.188,0.509,0.605,6yeOHYv4RfrL4sVyVvUE61,0.88,0.533,0.0291,0.169
136,0.129,0.679,0.531,0RQqOuAvXGo9EX51XTUvvx,0.00222,0.129,0.0367,0.492
137,0.692,0.543,0.498,79N43oKE1Aa2p6L6XNNwiE,0.433,0.078,0.0678,0.815
138,0.509,0.656,0.281,0CqsiBubT0eAm8GNFUzpbn,0.111,0.107,0.0364,0.181
139,0.00806,0.778,0.373,4RahdzD2B7f7Q6XDyf92qH,0.00983,0.0835,0.0448,0.434
140,0.923,0.526,0.437,0GipaCUUhfCOPdxkXDGtVp,0.839,0.111,0.0248,0.455
141,0.372,0.592,0.535,28k6uy8eU0nMKu0lSApuDn,0.143,0.146,0.0257,0.464
142,0.917,0.491,0.737,35TfsWefx2yiuBG0IpriHU,0.248,0.0916,0.0365,0.782
143,0.676,0.803,0.347,3FioTtMLxrEMnqa8vvThQT,0.0,0.121,0.0576,0.495
144,0.279,0.6,0.37,1xW6Y43t01h7pVxzBXSFRY,0.0414,0.0924,0.176,0.219
145,0.931,0.433,0.196,4Q5tec3nkF2W9frFn2sUVE,0.000632,0.178,0.0684,0.186
