,track_artistid,track_genre
111,1mmehjf7eHA10uHMisZGJg,alternative dance
112,5BYcwjrQth7em7maAt0yKE,vapor soul
113,0qzzGu8qpbXYpzgV52wOFT,ambient folk
114,2KXLSIzI7CY7AJg5ARUOSb,minimal tech house
115,2pRRvc1D9seqK4txoe8laT,chamber psych
116,0iViECTHd21gYy1zIEvusi,indie catala
117,32aUoW94mJ7xTJI7fG0V1G,chicago indie
118,7FU0xCgmSYQEiBeevUqQ4S,electropop
119,5Ha7OvvalK4moJei0zEKg6,
120,6bEYoIUTLdcs4lZBNVw5L5,indie folk
121,7oZLKL1GjYiaAgssXsLmW8,australian indie
122,5szdY7KaSi7epwyffrbV8c,alternative dance
123,3dv4Q4q3LWOnbLJnC6GgTY,bedroom pop
124,0qzzGu8qpbXYpzgV52wOFT,ambient folk
125,6EHS9kZ9PpeXaJ4wZO3FSX,bedroom pop
126,4eArh1v6UwBbKkjdgHCned,charlottesville indie
127,1itM5tXaK5THggpXA7ovAe,indie soul
128,2KjAo6wVc9d2WcxdxSArpV,indie folk
129,7HgA0wYq2OBe9ac7awv1Jq,norwegian space disco
130,32aUoW94mJ7xTJI7fG0V1G,chicago indie
131,5E5cEevLYdQHU04gIkA3ff,ambient techno
132,4MDPHbvIFVhV4OJGGYIUY3,polish indie
133,4MXUO7sVCaFgFjoTI5ox5c,baroque pop
134,5E5cEevLYdQHU04gIkA3ff,ambient techno
135,3u7pCtxg4aDd40zBnrB5WE,
136,3U2w4PW1aS0fNikBX0u3pG,
137,1wmiQ6ytATiGnJs6uFluKO,art pop
138,4cHtgM7lauSNaau5uAm5Cc,compositional ambient
139,3rtvvt1kuQ4luEWq8epaHD,vapor soul
140,4ftctxasGrW5Ud5Pbw6kWq,indie garage rock
141,1itM5tXaK5THggpXA7ovAe,indie soul
142,2X196fObsrfnNS25WLbeVE,
143,09kXLeOXRyfNQMXRaDO4qA,art pop
144,41y1iPh0WqB7tyGdzyeinZ,art pop
145,59CWeBMEzwj6U2HhTVLJ3O,norwegian indie
146,0rZp7G3gIH6WkyeXbrZnGi,ambient folk
147,3Sz7ZnJQBIHsXLUSo0OQtM,edmonton indie
148,1HhSYZFNNPTTZuOlSfZUJP,colombian indie
149,3S4d3YRNGg2OhnNm3QvfhA,indie poptimism
150,4wdK3zLMWPQK6CD0dpHh8F,british soul
151,5G9KNn0wPij85ybA1k2Opo,
152,2qq8yiTh6GieJeWShMcihO,
153,0HHMWJfJPFFuZqnv2rSsyI,neo r&b
154,6TztMelKE7ig8s8798deFu,
155,1y71H4hNtnHG7LeU1Y47FO,british soul
156,1Goe2NezNnym45kco2xTk6,alternative r&b
157,7oZLKL1GjYiaAgssXsLmW8,australian indie
158,30A0dNl1aYj4oOaMJKQk6Q,danish indie pop
159,25IpNXDRxJS38E2rLJeCF3,
160,32aUoW94mJ7xTJI7fG0V1G,chicago indie
161,2orBKFyc84jo9AZH5jarhI,anti-folk
162,0i2OlcrfUkEQqufPovNdDh,balearic
163,1qLSzTLKNBRu1byHN1eXoD,
164,2alOWLKI3HbgjLLrIwCBU0,
165,0M7GyeyRi2fG8c1LdP4jhi,vapor soul
166,2N79L5eT2Xraec4UJsi2Fz,lo-fi cover
167,6FUXFOcMGq6Idd7ooAcVY7,
168,4uKt0y4zMxjivxkjDsT3gl,neo-classical
169,1CsZ0ihKPWBDUERlQt8ekr,glitch beats
170,3GQboECxDT1xqPPWC30p7v,alternative r&b
171,28EyduqESEOVMO6vglvaUZ,indie r&b
172,2mVVjNmdjXZZDvhgQWiakk,neo-psychedelic
173,5iPtkyoEOCILhwFgl2a2d3,indie soul
174,7BYXrz5LhCrix6A3EwPvU0,chillhop
175,4OZ0VK1N3PDtGhY2d6sqhI,new french touch
176,4X8xPTUQoC19tQjPG40M81,chillwave
177,7zE0g2ogqJrvSFW9sQQMBe,
178,33WEbJHirq23bohapH3pI9,aussietronica
179,6CsleyOZtyt16saX8WhzDx,abstract hip hop
180,3dv4Q4q3LWOnbLJnC6GgTY,bedroom pop
181,3O3ivDvwNrLUFeNoYjeXP5,new french touch
182,1aZqKXeEfZFRR4QvKvqi1g,
183,1fQDzf4lnUF4DYngrLJH0m,bass music
184,5uz8HDS6eOsefdqSyMlTzi,
185,4OZ0VK1N3PDtGhY2d6sqhI,new french touch
186,6OvOdUubb1MOOz2FtGWlHk,abstract beats
187,1fQDzf4lnUF4DYngrLJH0m,bass music
188,5kJsAiwFWEaNRPwvtkjnXz,alternative hip hop
189,28yVvEvA2lT3K5RNIhV1Dj,alternative r&b
190,4GyYa2wB1SohURhDwDCCnQ,chillwave
191,2tW7TitNzNibILuWCEhBLS,future bass
192,5FZTEIrSaKc03k7QeyVlhi,swedish electronic
193,14EybDMySlkntyuxgm1pek,vapor twitch
194,24icoQNJSEWNu3XvqKBR68,alternative r&b
195,0YnqxF8FNAMagpmi2T1UjJ,shimmer pop
196,0KjF9pkI2bO9EMuB7LnHqP,chillwave
197,7vByi0TCh4wNTdqNK7dNqe,basel indie
198,7jBDs3nUM8NcQFZIfQlkRV,
199,0KjF9pkI2bO9EMuB7LnHqP,chillwave
200,33Cf4O1KAVbtQa00scMi2A,
201,41ZgBrHYJcdi3LEiZX1RMt,danish electropop
202,0KjF9pkI2bO9EMuB7LnHqP,chillwave
203,25OslGicPT7wGn5Ovf4Uwx,new french touch
204,5CM5PpBzdFwgJmlafK2AEy,french indietronica
205,12tZvy2xFpWSkuJ3FsfisZ,electronica
206,0HUqiq4J2ZM9tw8vKazWk4,escape room
207,2n5nqJyjPU7aLL0zbDa34D,
208,7vByi0TCh4wNTdqNK7dNqe,basel indie
209,1fQDzf4lnUF4DYngrLJH0m,bass music
210,3RReFwkOnOSrIkk826uxJT,italian electronica
211,6snr2uV0JQDKLW9yWzRkPj,chillhop
212,1u0NZBEbZG37eJ8Md9iNVS,
213,7HRqbpkrZC1eFAdRYUXmMT,
214,5PnSe8WPnWtneLiLlsp6FM,experimental techno
215,7AIlCnNYqOJkrHGV1TVAJo,
216,173wMRubTW7g208ZRpzFpu,electro-pop francais
217,5Q81rlcTFh3k6DQJXPdsot,channel islands indie
218,3E6Tbv49KoKnCoGqHJHQGx,south african alternative
219,7abaqPX14i31AxrQ3lFQgv,new french touch
220,0WDZCLcbMN3r8OLwntnxFk,
221,1si6mnxJ6IpTOTW13ECa0o,new french touch
222,0KjF9pkI2bO9EMuB7LnHqP,chillwave
223,2tUUqZeqBYInHt3aDp3a1B,new french touch
224,4wyNyxs74Ux8UIDopNjIai,
225,7uK0DQd6ovJfq8IjDy64fE,chill pop
226,2FybCOkpsTiXYNccjPpiYh,
227,6IVta6osiP9HifjCLIw4cv,vapor soul
228,5vNXUBHObHA5ToiPJjtmxh,wonky
229,08RrRBdcoplP0QFGopcJfC,
230,4GyYa2wB1SohURhDwDCCnQ,chillwave
231,3FDY67kyoGgLMWGVywQ6OZ,lo-fi beats
232,21mKp7DqtSNHhCAU2ugvUw,chillwave
233,06s35sbFfZJUEwFjAaZfiW,trap latino
234,6OvOdUubb1MOOz2FtGWlHk,abstract beats
235,5TztG8UlidyWr5gcdHho1l,
236,59oA5WbbQvomJz2BuRG071,indie soul
237,3cy0lrMEAKFCqvx9XfiAi8,
238,3NgEmfLNAGsWjmUYLMIrdB,cape town indie
239,5uPKpDpTOvt1ZOV8DLapRK,
240,2AY0TMFBRlygIiGsk2kiOP,chillstep
241,20LkrmuhAaxpnFuIlKvCfx,
242,2n5nqJyjPU7aLL0zbDa34D,
243,5xsSdtWHooM9IL5WnDWTdD,
244,4o6gglPeg2GgT0FYDtzFeF,indie jazz
245,3PHeRud25vIfvIChlwBMlC,bristol electronic
246,7rdiGVXL2fFyONexHzfKFS,ambeat
247,4GyYa2wB1SohURhDwDCCnQ,chillwave
248,2LAVKF9Udoyt6jxZNBpW7x,
249,60b7IDlGflg5lgyfEGf9yB,chillhop
250,0Dy94lW3txJhWQHqNXP1BT,afrofuturism
251,4dfYua3wPCN3mq8EStDZkZ,indie deutschrap
252,74EhQOxqIuZSj1wsMLQabN,canadian hip hop
253,0KjF9pkI2bO9EMuB7LnHqP,chillwave
254,1Re5xtFuUVCij5MVwK9aYY,
255,07cGsRL23DtuPJnawMKACY,irish indie
256,0Kt5snrp3j13r4wV8lorZ3,french orchestra
257,7GN9PivdemQRKjDt4z5Zv8,alternative r&b
258,5cdE65wvlFqMFAeQ29MZgr,
259,2VNtLWlwWghbNHvtPcM69G,
260,4aGSoPUP1v4qh7RfBlvgbR,ai
261,2z0mgUBpRGfMpV39n7sLXw,
262,33zSBkXKBqFb21ydNLh2xu,
263,2EMmqQQmszsCXfVfMRibOQ,french indietronica
264,59oA5WbbQvomJz2BuRG071,indie soul
265,3NgEmfLNAGsWjmUYLMIrdB,cape town indie
266,39sPWwRyNp4NNMyWzN7I0o,chillhop
267,7ItbAZITSFxSy5LJChXe18,electropop
268,5cdE65wvlFqMFAeQ29MZgr,
269,39sPWwRyNp4NNMyWzN7I0o,chillhop
270,2hDuMCqmJX9XVEODzgkuDI,
271,2hDuMCqmJX9XVEODzgkuDI,
272,7ItbAZITSFxSy5LJChXe18,electropop
273,1MJNkpo4RWfFeirp3Z3czO,electra
274,1jVvXqdwDHekLwFBamrcUx,indie soul
275,3DtnSKmpjFGUzZcccWfG43,chillwave
276,5bpKJkKb5h112Fy5eLMbWt,
277,7uK0DQd6ovJfq8IjDy64fE,chill pop
278,0KjF9pkI2bO9EMuB7LnHqP,chillwave
279,0bUWa3lF2u3S1j1JOVZsdA,substep
280,08Xoy5Glpl7MyzzZsRfRPJ,substep
281,7ItbAZITSFxSy5LJChXe18,electropop
282,38lJ5B9ZBk3zsRKEf3oG2R,chillhop
283,3JKd43oYlE7ifoodXetsuw,filter house
284,7Mws36yO3takBR2WMsXOkM,alternative hip hop
285,7ASqwOIwQM4un3dB1rK5bf,
286,1ewyVtTZBqFYWIcepopRhp,chicago rap
287,6bJCrLZcvsBMzve04BmgwS,aussietronica
288,7pnSUizGuS2tAW2yCAhafn,chillhop
289,1bQat2UgYwJAsNOrZxcfa5,art pop
290,7daSp9zXk1dmqNxwKFkL35,lo-fi beats
291,2c0SyAUT82Al3gJQ3uezBv,lo-fi beats
292,1m4GViPjIy4T8Pd0Iz6hRS,deep house
293,38jDRxwK5wuTKAk54LEj1F,indie jazz
294,4zAOqBfNLyWFvj1e3yvypJ,downtempo
295,04aAAEbkuy8tC8xmaE0CcQ,ambeat
296,1rcNsjikx8qlJnq4b8Ml8d,
297,0HrxevJVGTEFBWFfAc88H3,chillhop
298,7tr9pbgNEKtG0GQTKe08Tz,alternative r&b
299,7wAbJsjY2pE8k0ICLgfdR5,indie deutschrap
300,1fQDzf4lnUF4DYngrLJH0m,bass music
301,13Kd75NSHSp9lB4CaqPMOV,alternative r&b
302,0qzzGu8qpbXYpzgV52wOFT,ambient folk
303,2EMmqQQmszsCXfVfMRibOQ,french indietronica
304,2DcAdoxP41GECOfZt2MhQL,charlotte nc indie
305,33Ztukerf3He8FeKk5acn8,deep idm
306,0kTgfHNXO2Q41e1E6PRu7r,
307,37J1PlAkhRK7yrZUtqaUpQ,electro swing
308,39sPWwRyNp4NNMyWzN7I0o,chillhop
309,6OvOdUubb1MOOz2FtGWlHk,abstract beats
310,3DtnSKmpjFGUzZcccWfG43,chillwave
311,3DtnSKmpjFGUzZcccWfG43,chillwave
312,4OHaWpWPKDcZgOOUn9elFn,electronic trap
313,18hiqhddMloGWzY8pNZ8qr,chillhop
314,6pJY5At9SiMpAOBrw9YosS,deep house
315,1rcNsjikx8qlJnq4b8Ml8d,
316,2C62QiJ3Rme5no5evMD1hH,chillhop
317,6NnWCx7mer62qXytwEKZm9,alternative r&b
318,25pbZ2yTnog5SBbk7WyfNn,
319,4aEnNH9PuU1HF3TsZTru54,alternative dance
320,0Geqa2iYzhQA5oVKUWuu0x,aussietronica
321,5BYcwjrQth7em7maAt0yKE,vapor soul
322,6Yae9Ia1nq6JLLojBzwN1r,deep house
323,62vbsDRAq0qHdezaCOzB0T,edm
324,3ph6BKBPsjP7Vhtd1IXhkc,chillhop
325,2YQrHrYGNtBFCSEa6EOv0o,
326,59oA5WbbQvomJz2BuRG071,indie soul
327,2C62QiJ3Rme5no5evMD1hH,chillhop
328,6RNr2tswLPc7eVW0bgRaQG,focus beats
329,39sPWwRyNp4NNMyWzN7I0o,chillhop
330,6rJ1GwtHin2BJbKLuNn9pi,chillhop
331,1BhytEyR0LxnxXoeQPxGVV,
332,7w7NuGUb1tObaJgBCuqWev,
333,4WT5TNNUvgRLjAiWce3K5z,chillhop
334,1e88xro2hrLDrEi4NSvLwp,
335,64StAk1W7veJKQ9x0rlE2R,chillhop
336,39sPWwRyNp4NNMyWzN7I0o,chillhop
337,39sPWwRyNp4NNMyWzN7I0o,chillhop
338,6snr2uV0JQDKLW9yWzRkPj,chillhop
339,6N4HlHINMvoTyAL0yhBUCk,chillhop
