,track_id,track_artist,track_artistid,track_name,track_duration,track_popularity,track_releasedate,track_preview,track_image,track_url,track_playlist
14,5pei8geLWBNaeHUOJqKcPa,Alela Diane,2QIHd0B2VIKlmLyoq4lUr7,Lady Divine,312308,0,2014-09-15,,https://i.scdn.co/image/ab67616d0000b273222b8af1d884aebe5b009cb4,https://open.spotify.com/track/5pei8geLWBNaeHUOJqKcPa,eargasm | breathe easy
15,59lmc1erBarSFuxFLxCzVX,Soy Christmas,2X196fObsrfnNS25WLbeVE,Get Upset,198068,30,2016-12-06,https://p.scdn.co/mp3-preview/2a32bb16900b15cee562aa3fc78df1a6d7c09ee4?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27334698ec728441f7e40b46797,https://open.spotify.com/track/59lmc1erBarSFuxFLxCzVX,eargasm | breathe easy
16,6LkGST31GNVEQIoV5SoEb2,COTE,3GCBiJwLjAJKWRgAJJ2gz6,Cruel,201666,5,2017-01-18,https://p.scdn.co/mp3-preview/8e0c15f01eda43bfb247da8934d9d585e8fd2cce?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27388ac102cec6fb240987ebc9e,https://open.spotify.com/track/6LkGST31GNVEQIoV5SoEb2,eargasm | breathe easy
17,2NXHQtiZl9JzoowWvIXUxv,Hater,4Xi4aFTZvoMChGDmSVgxTz,Had It All,201494,0,2017-01-19,,https://i.scdn.co/image/ab67616d0000b273e98231a2aa5d23024b98d0b0,https://open.spotify.com/track/2NXHQtiZl9JzoowWvIXUxv,eargasm | breathe easy
18,1qkFsJccNEtsmO91KXn3h7,Mesita,0Y4MvL6mOliZEB5uTLlX9z,Compliments,227762,0,2016-12-31,,https://i.scdn.co/image/ab67616d0000b273b96bd278a3bf0677af97c57e,https://open.spotify.com/track/1qkFsJccNEtsmO91KXn3h7,eargasm | breathe easy
19,7tIsM8diWQm6xWG6N3PKCg,Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,Tears on Fire,203941,14,2017-01-10,https://p.scdn.co/mp3-preview/8a3e66cb22a18c5b6200e63c4bd4c7cb22f3963b?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2730043fabb4c3f5af036ef96d6,https://open.spotify.com/track/7tIsM8diWQm6xWG6N3PKCg,eargasm | breathe easy
20,2H0ZKqQRx3quZglAvmV0Xn,Shunya,5MZshcD6Lsw7qjVsDyi0c5,Wonder N Wane,309398,4,2016-11-13,https://p.scdn.co/mp3-preview/6d3c54f888719d4506e50380c3c1082c572935ab?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27372675df3b858e348d3121dc3,https://open.spotify.com/track/2H0ZKqQRx3quZglAvmV0Xn,eargasm | breathe easy
21,7GwYyptT4tgRrCzcmA5DUX,Chelou,2RwfRD2vlkdztGtVXENShq,Halfway to Nowhere,188405,55,2016-11-04,https://p.scdn.co/mp3-preview/474e8340e5e987d0b31ef815827cffa917b2ef65?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273fa7feb3b71f034698912fb08,https://open.spotify.com/track/7GwYyptT4tgRrCzcmA5DUX,eargasm | breathe easy
22,124MaSOWcH8osvjBmftJ9x,The Tapes,28JTu8hQLXShYssmOsJiax,At All,184000,0,2016-06-21,,https://i.scdn.co/image/ab67616d0000b273608cd6c7ae7bc9b372766d1a,https://open.spotify.com/track/124MaSOWcH8osvjBmftJ9x,eargasm | breathe easy
23,4QDkVz4naIIQ9Ek709gsPL,Willie West,76HrK2f7GCk4phitcHr60T,I'm Still a Man (Lord Have Mercy) - Instrumental,188346,33,2015-10-30,https://p.scdn.co/mp3-preview/c7f1e0327629c3d96adc8195cd3463978754d202?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273e1d4047c898c7ad850b49424,https://open.spotify.com/track/4QDkVz4naIIQ9Ek709gsPL,eargasm | breathe easy
