,track_id,track_artist,track_artistid,track_name,track_duration,track_popularity,track_releasedate,track_preview,track_image,track_url,track_playlist,track_genre,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,key,key_confidence,mode,mode_confidence,number_of_sections,tempo,tempo_confidence,time_signature,time_signature_confidence
0,1ua6hBq18qZLyprXjMcpyf,Virgil Howe,6d3Hil7Y1xq0oEhtaDxEUg,Someday,251266,41,2009-10-19,https://p.scdn.co/mp3-preview/a2bdcba6acda937f292d441a01650f510193cc24?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27356dc5e99890d50a555e8d02a,https://open.spotify.com/track/1ua6hBq18qZLyprXjMcpyf,eargasm | breathe easy,,0.37,0.483,0.462,0.21,0.0875,0.028999999999999998,0.35100000000000003,9.0,0.292,0.0,0.39799999999999996,12.0,86.50200000000001,0.16,4.0,1.0
1,42VpxSdGQgnV1UJkWeGYkA,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,Switch,254233,51,2016-08-26,https://p.scdn.co/mp3-preview/d0feea85b84ce9f5bae5511a1b33537144ae3a09?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b27396782cf4a8f125a67a1f20b7,https://open.spotify.com/track/42VpxSdGQgnV1UJkWeGYkA,eargasm | breathe easy,alternative country,0.36200000000000004,0.682,0.5379999999999999,0.000123,0.324,0.0283,0.713,7.0,0.743,0.0,0.45299999999999996,12.0,98.00299999999999,0.583,4.0,1.0
2,1g8A166soQjwl1ihqBWKGW,The Slow Revolt,7cfCmW2AFiMNdpJdY0vJsr,Lean,207699,0,2016-09-09,,https://i.scdn.co/image/ab67616d0000b273ce48d60ff71723024fb0cbe3,https://open.spotify.com/track/1g8A166soQjwl1ihqBWKGW,eargasm | breathe easy,vapor pop,0.195,0.536,0.753,0.8009999999999999,0.12,0.0309,0.6759999999999999,1.0,0.655,1.0,0.368,12.0,85.036,0.325,4.0,0.9790000000000001
3,6cAVWcj8TQ5yR2T6BZjnOg,Dirty Nice,4MGA6AM4iZ2HYc6b77og9g,Zero Summer,212640,0,2017-06-09,,https://i.scdn.co/image/ab67616d0000b2733a028c512f35ff3fc5df0588,https://open.spotify.com/track/6cAVWcj8TQ5yR2T6BZjnOg,eargasm | breathe easy,,0.742,0.6629999999999999,0.509,5.95e-06,0.11199999999999999,0.0889,0.303,11.0,0.547,1.0,0.56,12.0,125.088,0.47600000000000003,4.0,0.845
4,3YA509E9ki7a3Ic9cf25Vt,Alex Ebert,1me05HW5s7TShHra5nN7uE,Broken Record,274800,47,2017-05-05,https://p.scdn.co/mp3-preview/96c62ba3b9d730d3e3518e3a09ca30c8e957e7e3?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b2738a690494b3181765ba98fc9b,https://open.spotify.com/track/3YA509E9ki7a3Ic9cf25Vt,eargasm | breathe easy,alternative americana,0.24,0.46399999999999997,0.57,0.00121,0.138,0.04,0.5479999999999999,0.0,0.905,1.0,0.753,12.0,170.55599999999998,0.183,4.0,0.799
5,19y7Eh2ORRo6spiEcr4aTU,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,The Florist,201833,15,2017-06-09,,https://i.scdn.co/image/ab67616d0000b27302227e12aeafcfa1c085d22e,https://open.spotify.com/track/19y7Eh2ORRo6spiEcr4aTU,eargasm | breathe easy,art pop,0.345,0.797,0.312,0.0,0.11199999999999999,0.0608,0.268,9.0,0.038,1.0,0.34299999999999997,12.0,120.083,0.706,4.0,1.0
6,19TAo8jPiXcgFHqbo7vqHp,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,Yesterday,265857,0,2016-05-27,,https://i.scdn.co/image/ab67616d0000b27335957c2913c38865795c1900,https://open.spotify.com/track/19TAo8jPiXcgFHqbo7vqHp,eargasm | breathe easy,chillwave,0.649,0.7609999999999999,0.48,0.12,0.0985,0.0338,0.524,9.0,0.39399999999999996,0.0,0.447,12.0,119.988,0.797,4.0,1.0
7,19TAo8jPiXcgFHqbo7vqHp,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,Yesterday,265857,0,2016-05-27,,https://i.scdn.co/image/ab67616d0000b27335957c2913c38865795c1900,https://open.spotify.com/track/19TAo8jPiXcgFHqbo7vqHp,eargasm | kickin' it ol' skool,chillwave,0.649,0.7609999999999999,0.48,0.12,0.0985,0.0338,0.524,9.0,0.39399999999999996,0.0,0.447,12.0,119.988,0.797,4.0,1.0
8,36SX9SGiHKkoLODDddt9vZ,Slum Sociable,0J626PVezyRujeAfXAssnH,A Hearing,233481,0,2017-11-24,,https://i.scdn.co/image/ab67616d0000b27334b7a47d65600bb46e7fd4d5,https://open.spotify.com/track/36SX9SGiHKkoLODDddt9vZ,eargasm | breathe easy,australian indie,0.1,0.589,0.754,0.0427,0.0852,0.0377,0.46399999999999997,1.0,0.40399999999999997,1.0,0.517,12.0,103.01299999999999,0.7559999999999999,4.0,1.0
9,5VIYGFUngL0tTKFlAbXIbg,Harry Jay-Steele,1nJgCnenw0dYwvv56Q6Svs,Reach You,273945,36,2017-02-03,https://p.scdn.co/mp3-preview/e235cfaa5d354e78d3d4bbab355c13866137d30e?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273f7c765d9a3fb07a26eb3758e,https://open.spotify.com/track/5VIYGFUngL0tTKFlAbXIbg,eargasm | breathe easy,,0.79,0.655,0.57,0.0017,0.184,0.0463,0.377,2.0,0.06,1.0,0.325,12.0,119.93,0.505,4.0,1.0
10,1KP3OTeaBYZOEORG6myajk,Carmody,4wdK3zLMWPQK6CD0dpHh8F,Before You Knew Me,285757,32,2017-02-10,https://p.scdn.co/mp3-preview/d113973541618c58b6d07e7653a4eaf941648b17?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273a2f6e368cd647d2c45f659f2,https://open.spotify.com/track/1KP3OTeaBYZOEORG6myajk,eargasm | breathe easy,british soul,0.529,0.797,0.364,0.00010800000000000001,0.326,0.1,0.17800000000000002,6.0,0.44299999999999995,0.0,0.518,12.0,98.96600000000001,0.044000000000000004,4.0,0.978
11,5xLRfAVRKGMejtz6TXgodL,King Krule,4wyNyxs74Ux8UIDopNjIai,Border Line,185853,52,2013-08-24,https://p.scdn.co/mp3-preview/01bf0cd9b6db1eccf885fdff8130c5584623005e?cid=6f8f846f86b24d08a3de0e01d381894a,https://i.scdn.co/image/ab67616d0000b273006a67029cdb27f19516ecf3,https://open.spotify.com/track/5xLRfAVRKGMejtz6TXgodL,eargasm | breathe easy,,0.522,0.6409999999999999,0.5489999999999999,0.000113,0.0764,0.1,0.345,11.0,0.25,0.0,0.284,12.0,99.913,0.478,4.0,1.0
